id,summary,content,steps,notes,status
quyen_rieng_tu__ans_1,Trách nhiệm và các trường hợp VNPT xử lý thông tin,"VNPT sẽ thông báo và lấy sự chấp thuận xử lý dữ liệu của Quý khách trong các trường hợp chính sau: (1) Khi Quý khách liên hệ tư vấn, quan tâm hoặc đăng ký tài khoản, dùng thử và sử dụng các sản phẩm, dịch vụ của VNPT; (2) Khi Quý khách cung cấp thông tin qua các nguồn công khai, mạng xã hội, sự kiện do VNPT tổ chức hoặc qua dữ liệu cookie trên website/ứng dụng; (3) Khi có sự chia sẻ thông tin từ các đối tác, doanh nghiệp mà Quý khách đã cho phép hoặc các đơn vị hợp tác với VNPT; (4) Khi thực hiện các công việc vì mục đích xử lý thông tin theo chính sách hoặc theo yêu cầu của cơ quan nhà nước và quy định pháp luật.",,,active
quyen_rieng_tu__ans_2,Loại dữ liệu cá nhân được VNPT xử lý,"Dữ liệu cá nhân được VNPT xử lý bao gồm hai nhóm chính:
1. Dữ liệu cơ bản: Họ tên, ngày sinh, giới tính, quốc tịch, nơi cư trú, hình ảnh, thông tin liên lạc (SĐT, Email), các số định danh (CCCD, Hộ chiếu, MST, BHXH), tình trạng hôn nhân, quan hệ gia đình và lịch sử hoạt động trên không gian mạng.
2. Dữ liệu nhạy cảm: Thông tin định danh tại các tổ chức tín dụng/ngân hàng/trung gian thanh toán (số tài khoản, thông tin tiền gửi, tài sản và lịch sử giao dịch); dữ liệu về vị trí định vị thực tế và các dữ liệu đặc thù khác cần bảo mật theo quy định pháp luật.",,,active
quyen_rieng_tu__ans_3,Quy định về thông tin bắt buộc và thông tin tùy chọn,"VNPT sẽ thông báo cho Khách hàng, tại thời điểm liên hệ, trao đổi, đăng ký hoặc ký kết hợp đồng, về Thông tin Khách hàng bắt buộc cung cấp và Thông tin Khách hàng tùy chọn cung cấp.
Trong đó, Thông tin Khách hàng bắt buộc cung cấp là các thông tin VNPT phải thu thập theo quy định pháp luật hoặc cần thiết để cung cấp một phần hoặc toàn bộ sản phẩm, dịch vụ theo yêu cầu của Khách hàng. Thông tin Khách hàng tùy chọn cung cấp là các thông tin nhằm nâng cao trải nghiệm, dự đoán hành vi tiêu dùng hoặc phục vụ nghiên cứu thị trường, và việc không cung cấp các thông tin này không ảnh hưởng đến việc cung cấp sản phẩm, dịch vụ của VNPT.",,,active
quyen_rieng_tu__ans_4,Hệ quả khi không cung cấp đủ thông tin bắt buộc,"Nếu các Thông tin Khách hàng bắt buộc cung cấp không được cung cấp theo yêu cầu của VNPT, Khách hàng sẽ không thể sử dụng Sản phẩm, dịch vụ của VNPT. Trong trường hợp này, VNPT có thể từ chối cung cấp sản phẩm, dịch vụ cho Khách hàng mà không phải chịu bất kì một khoản bồi thường và/hoặc phạt vi phạm nào (trừ trường hợp do lỗi của VNPT hoặc pháp luật có quy định khác).",,,active
quyen_rieng_tu__ans_5,Ủy quyền hoặc thuê bên thứ ba xử lý thông tin,"VNPT có thể tự mình hoặc ủy quyền, thuê bên thứ ba thực hiện xử lý Thông tin Khách hàng với điều kiện là việc xử lý Thông tin Khách hàng phải bảo đảm an toàn, an ninh Thông tin Khách hàng theo quy định của pháp luật.
Trường hợp VNPT ủy quyền hoặc thuê bên thứ ba thực hiện việc xử lý Thông tin Khách hàng thì phải được sự đồng ý của Khách hàng. Việc ủy quyền hoặc thuê bên thứ ba phải được thực hiện bằng văn bản, trong đó quy định rõ phạm vi, trách nhiệm của mỗi bên trong việc bảo vệ Thông tin Khách hàng theo quy định của pháp luật.
Trường hợp Khách hàng thực hiện giao dịch thông qua bên thứ ba thì bên thứ ba có trách nhiệm bảo vệ Thông tin Khách hàng theo quy định của pháp luật.",,,active
quyen_rieng_tu__ans_6,Mục đích bắt buộc để cung cấp sản phẩm và dịch vụ,"VNPT được phép xử lý Thông tin Khách hàng trong phạm vi Khách hàng đã đồng ý nhằm cung cấp sản phẩm, dịch vụ, bao gồm: xác minh và xác thực thông tin, đăng ký và quản lý tài khoản; thẩm định hồ sơ, đánh giá điều kiện sử dụng và quản trị rủi ro tín dụng; thực hiện các quyền của Khách hàng theo quy định pháp luật; thông báo kế hoạch tác động mạng lưới; quản lý chương trình khách hàng thân thiết; tiếp nhận và giải quyết yêu cầu, khiếu nại, khảo sát mức độ hài lòng; liên hệ tư vấn, cung cấp hóa đơn, sao kê, báo cáo qua các kênh liên lạc; đánh giá hiệu quả hoạt động, vận hành hệ thống quản trị nội bộ; lập hồ sơ, báo cáo, phân tích dữ liệu phục vụ nghiên cứu và cải tiến dịch vụ; đánh giá khả năng mua; cung cấp thông tin theo yêu cầu và tối ưu hóa công nghệ, website, ứng dụng nhằm nâng cao trải nghiệm khách hàng.",,,active
quyen_rieng_tu__ans_7,Mục đích để thực hiện nghĩa vụ pháp luật,"VNPT xử lý Thông tin Khách hàng để thực hiện các nghĩa vụ pháp lý trong các trường hợp sau:
1. Báo cáo & Phối hợp: Lập báo cáo chuyên ngành viễn thông, truyền hình hoặc theo yêu cầu bằng văn bản của cơ quan nhà nước.
2. Tình huống khẩn cấp: Bảo vệ tính mạng, sức khỏe của khách hàng/người khác; ứng phó thiên tai, dịch bệnh hoặc nguy cơ đe dọa an ninh quốc gia, trật tự xã hội.
3. Công khai & Hợp đồng: Công khai thông tin theo quy định của luật hoặc để thực hiện nghĩa vụ theo hợp đồng của khách hàng với các cơ quan, tổ chức liên quan.",,,active
quyen_rieng_tu__ans_8,Quy định về các mục đích xử lý thông tin tùy chọn,"Trừ trường hợp bắt buộc, VNPT phải lấy sự chấp thuận của Quý khách cho các mục đích tùy chọn bao gồm: (1) Kinh doanh dịch vụ phân tích dữ liệu, xác thực, định danh, quảng cáo, tiếp thị, nghiên cứu thị trường, thăm dò dư luận hoặc môi giới; (2) Tổ chức các chương trình xúc tiến thương mại, giới thiệu sản phẩm, gửi thông tin khuyến mại, tin tức cập nhật, sự kiện hoặc các cuộc thi có thưởng liên quan đến dịch vụ của VNPT. Mọi thông tin thu thập đều phải phù hợp và giới hạn trong phạm vi mục đích đã quy định.",,,active
quyen_rieng_tu__ans_9,Cách thức từ chối các mục đích tiếp thị và quảng cáo,"Trường hợp Khách hàng không muốn tiếp tục nhận email, tin nhắn và/hoặc bản tin định kỳ với mục đích quảng cáo, tiếp thị của VNPT, Khách hàng có thể từ chối theo các cách thức:
- Theo hướng dẫn trên các kênh (tin nhắn, cuộc gọi).
- Sử dụng dấu tích trên website/ứng dụng cung cấp dịch vụ.
- Liên hệ trực tiếp với tổng đài chăm sóc Khách hàng của VNPT.",,,active
quyen_rieng_tu__ans_10,Chính sách về việc mua bán thông tin khách hàng,VNPT không thực hiện hoạt động mua bán Thông tin Khách hàng dưới bất kỳ hình thức nào.,,,active
quyen_rieng_tu__ans_11,VNPT làm gì với Thông tin khách hàng,"VNPT áp dụng một hoặc nhiều hoạt động tác động tới Thông tin Khách hàng như: thu thập, ghi, phân tích, xác nhận, lưu trữ, chỉnh sửa, công khai, kết hợp, truy cập, truy xuất, thu hồi, mã hóa, giải mã, sao chép, chia sẻ, truyền đưa, cung cấp, chuyển giao, xóa, hủy Thông tin Khách hàng hoặc các hành động khác có liên quan phù hợp với quy định của pháp luật.",,,active
quyen_rieng_tu__ans_12,Thời gian xử lý Thông tin Khách hàng,"VNPT thực hiện xử lý dữ liệu theo khung thời gian sau:
1. Bắt đầu: Kể từ thời điểm phát sinh các mục đích xử lý thông tin được quy định trong chính sách.
2. Kết thúc: Khi đã hoàn thành các mục đích đã đề ra. Tuy nhiên, việc xử lý sẽ chấm dứt sớm hơn nếu Quý khách rút lại sự đồng ý hoặc có yêu cầu bằng văn bản từ cơ quan nhà nước có thẩm quyền. Trừ trường hợp pháp luật có quy định khác về việc phải lưu trữ dữ liệu.",,,active
quyen_rieng_tu__ans_13,Các đối tượng VNPT được phép chia sẻ thông tin,"VNPT chỉ chia sẻ Thông tin Khách hàng cho các đối tượng sau để thực hiện các mục đích đã quy định: (1) Hệ sinh thái nội bộ gồm các công ty con và công ty liên kết của VNPT; (2) Các đối tác cung cấp dịch vụ hoặc hợp tác kinh doanh (như quảng cáo, nghiên cứu thị trường, thu cước) đã có thỏa thuận bảo mật bằng văn bản; (3) Các doanh nghiệp viễn thông khác để phục vụ việc tính cước và lập hóa đơn; (4) Cung cấp thông tin thuê bao nợ cước, trốn tránh nghĩa vụ thanh toán theo quy định của Bộ Thông tin và Truyền thông; (5) Các cơ quan nhà nước có thẩm quyền theo quy định của pháp luật.",,,active
quyen_rieng_tu__ans_14,Quy định về  đối tượng được chia sẻ thông tin khác,"Ngoài các đối tượng thuộc phạm vi sử dụng bắt buộc (như công ty con, đối tác dịch vụ, cơ quan nhà nước), việc chia sẻ Thông tin Khách hàng cho bất kỳ bên thứ ba nào khác phải được sự chấp thuận của Khách hàng (“Phạm vi sử dụng tùy chọn”).",,,active
